pickup_hour,pickup_day,total_revenue,trip_distance,fare_amount,tip_amount,trip_count,day_order
12,Friday,25.449987484901843,3.317404572376559,19.351573264257755,3.132709082177627,68717,5
13,Friday,25.898694806457886,3.379122183010532,19.672656375913526,3.226674771445244,71974,5
14,Friday,26.62341554756951,3.4496202004917724,20.340174011726877,3.287073828888469,79305,5
15,Friday,26.83946709233792,3.4524209233791745,20.545191429273082,3.2822091110019644,81440,5
16,Friday,29.557881720835056,3.5093238679872956,20.69199927189646,3.651582746456772,79659,5
17,Friday,28.372227259206376,3.336967457909453,19.72143208995181,3.500891784163246,84045,5
18,Friday,26.171126414579355,2.989039450754792,18.076274853555606,3.2188430368053074,95258,5
19,Friday,26.17164418331375,3.016723149236193,18.226838895417156,3.155423619271445,85100,5
20,Friday,25.692956434108527,3.366326046511628,18.814341860465117,3.2530475968992247,64500,5
21,Friday,26.06977820140402,3.431464990317114,19.117419813604453,3.42205852093924,66096,5
22,Friday,26.27558614615297,3.4865005966587113,19.398363166268894,3.4028810092055917,70392,5
23,Friday,26.202770941963692,3.627633495324894,19.694162247595976,3.128856260801489,67699,5
0,Saturday,24.838278256245108,3.4530437415980977,18.74158657468276,2.8556623284534592,67693,6
1,Saturday,22.42468056054617,3.087413762127201,16.861507006827164,2.553438016528925,55660,6
2,Saturday,21.422639376027078,2.940951411542518,16.04031370336759,2.421635230923941,40771,6
3,Saturday,21.818535193653027,3.117876265290968,16.486126939461446,2.361071637941142,25587,6
4,Saturday,25.51005251798561,3.9755575539568344,19.72614388489209,2.4993237410071942,13900,6
5,Saturday,35.714735212139985,6.045603902136885,27.34464385258594,3.8520037163208425,6458,6
6,Saturday,31.833817799692827,5.399700105084472,24.757303370786516,3.4958362298924905,12371,6
7,Saturday,28.54492960820692,4.674915966386554,22.067020626432388,3.2203061224489797,18326,6
8,Saturday,26.20165135608049,4.047769393409157,19.979601195683873,3.1169593904928554,27432,6
9,Saturday,23.798728895320792,3.428906657018813,18.082230342498793,2.8666787264833573,41460,6
10,Saturday,23.310688259109313,3.2131953216374267,17.6739208277103,2.8451388214125055,55575,6
11,Saturday,23.90281182386104,3.2186337040987354,18.31732073746762,2.877877342678653,65630,6
12,Saturday,24.132875570387522,3.191457195396036,18.599946468705305,2.8918272832527414,73415,6
13,Saturday,25.24085937992511,3.3385315143797363,19.445287027347344,3.037607958342264,79313,6
14,Saturday,26.030266896639837,3.5101604701673694,20.049027469017503,3.152713811166475,78270,6
15,Saturday,26.11329036027748,3.5380458241129817,20.138045326835577,3.176758870185733,80438,6
16,Saturday,25.830591270118553,3.45364218666294,19.93553501968183,3.182866559522978,85866,6
17,Saturday,25.17548914821682,3.295650016359472,19.571214963463845,2.9883413676518704,91690,6
18,Saturday,24.54735429380994,3.163800021795989,19.103055034873584,2.914114537925022,91760,6
