zone_id,total_revenue,avg_revenue,trip_count,avg_distance,avg_fare,revenue_per_trip,stress_score
1,25613.26,96.65381132075471,265,2.9722264150943394,80.0951320754717,96.65381132075471,0.0932504375608925
2,702.47,70.247,10,16.895999999999997,58.870000000000005,70.247,0.20418399130164747
3,16067.53,38.90443099273608,413,9.232154963680388,36.0835593220339,38.90443099273608,0.3366044038308287
4,327681.14,22.08391562205149,14838,2.97243968189783,17.965104461517722,22.08391562205149,0.4228120559464722
5,92.28,46.14,2,11.83,37.7,46.14,0.3056957218685162
6,3688.0800000000004,24.91945945945946,148,7.7487162162162155,6.445405405405405,24.91945945945946,0.39521600708742927
7,164609.02,25.64802430663758,6418,4.136952321595513,22.051456840137114,25.64802430663758,0.3988296908975918
8,4913.35,64.64934210526316,76,6.329736842105263,49.70618421052632,64.64934210526316,0.2278273825522399
9,5458.46,38.712482269503546,141,9.029645390070922,34.98609929078014,38.712482269503546,0.33712287893032267
10,238811.38999999998,69.10051793981481,3456,11.788119212962963,56.78969328703703,69.10051793981481,0.2126844462379294
11,11286.79,38.521467576791814,293,8.702866894197953,36.26334470989761,38.521467576791814,0.33808927084874196
12,175030.67,30.956963211885395,5654,4.34097453130527,24.700603112840465,30.956963211885395,0.375658315523954
13,1859632.4,29.82665682940912,62348,4.335525758645025,22.909913068582792,29.82665682940912,0.4408362208201952
14,51189.85,36.59031451036454,1399,8.323052180128665,32.87709792709078,36.59031451036454,0.3474004584379557
15,5852.08,41.504113475177306,141,10.546950354609928,37.70468085106383,41.504113475177306,0.32536666228047106
16,9241.52,40.53298245614035,228,9.272543859649122,36.824035087719295,40.53298245614035,0.3295490383315666
17,93333.82,29.203322903629537,3196,5.151667709637046,27.091983729662076,29.203322903629537,0.38042385539932766
18,23753.49,36.88430124223603,644,8.5447049689441,34.2870652173913,36.88430124223603,0.34535781923216363
19,14863.619999999999,40.610983606557376,366,9.797540983606558,37.13224043715847,40.610983606557376,0.32936762157730975
20,16997.46,38.11089686098654,446,8.708654708520179,34.93188340807175,38.11089686098654,0.33998133058718333
21,16011.72,32.74380368098159,489,6.753108384458078,30.7919427402863,32.74380368098159,0.36262924876417557
22,25851.739999999998,33.01627075351213,783,6.907624521072797,30.828799489144316,33.01627075351213,0.3617951369872551
23,2037.25,58.207142857142856,35,13.861714285714285,46.355714285714285,58.207142857142856,0.2549133081511387
24,469155.11,21.304895781299667,22021,2.7042700149856955,16.32583216021071,21.304895781299667,0.4337475040065947
25,142003.24,29.15877618069815,4870,4.87199794661191,25.487195071868584,29.15877618069815,0.3823954080499904
26,29003.85,31.120010729613732,932,6.158197424892704,29.411083690987127,31.120010729613732,0.3699395216574637
27,4005.44,44.01582417582418,91,9.784615384615384,39.463406593406596,44.01582417582418,0.3147359725933955
