scenario,elasticity,fare_increase_pct,new_revenue_per_trip,new_total_revenue,new_trip_count,driver_benefit_pct,system_change_pct,demand_change_pct
Low Elasticity (Inelastic),-0.3,7,27.399596549064352,15364505.62628498,560756.6373749999,7.000000000000006,1.2426387541753658,-2.100000000000002
Medium Elasticity (Baseline),-0.6,7,27.399596549064352,15034929.918264566,548728.14975,7.000000000000006,-0.9290623835546475,-4.200000000000004
High Elasticity (Elastic),-1.0,7,27.399596549064352,14595495.640904017,532690.16625,7.000000000000006,-3.8246639005279865,-7.000000000000006
