date,total_revenue,avg_revenue,trip_count,avg_distance,avg_fare,avg_tip,week_num,month_name,is_weekend,revenue_trend
2009-01-01,91.0,30.333333333333332,3,4.91,24.0,0.0,1,January,False,25.707525799748492
2024-05-31,788.14,20.740526315789474,38,2.2257894736842103,15.102631578947367,3.1378947368421053,2,May,False,25.729354132217157
2024-06-01,3079931.95,24.597344945453386,125214,3.201709633108119,18.869640535403388,2.8971590237513376,3,June,True,25.751182464685822
2024-06-02,2871874.07,28.085963932598553,102253,3.9052930476367442,21.3949000029339,3.409709152787693,4,June,True,25.773010797154488
2024-06-03,2883386.19,27.40600883946393,105210,3.591962360992301,20.002047333903622,3.545413078604695,5,June,False,25.794839129623153
2024-06-04,3225412.78,26.885833437528653,119967,3.259997249243542,19.735209515950217,3.4874121216667917,6,June,False,25.816667462091818
2024-06-05,3412580.28,26.451034995930705,129015,3.131252024958338,19.48857086385304,3.381211409526024,7,June,False,25.838495794560483
2024-06-06,3723977.69,27.32813545267082,136269,3.2029889409917147,20.281800849789757,3.4351870197917354,8,June,False,25.86032412702915
2024-06-07,3296451.36,26.117953317381588,126214,3.2967174798358347,19.3763389164435,3.166729443643336,9,June,False,25.882152459497814
2024-06-08,3088663.31,24.373344302139312,126723,3.2204669239206773,18.83800628141695,2.7510304364637834,10,June,True,25.90398079196648
2024-06-09,2854782.34,27.978187502450115,102036,4.01280420635854,21.51281351679799,3.219951095691717,11,June,True,25.925809124435144
2024-06-10,2785749.21,27.458249157253533,101454,3.6239461233662547,20.022632325980247,3.5512715122124314,12,June,False,25.947637456903806
2024-06-11,2996373.45,26.040250028244415,115067,3.178375902734928,18.87308263881043,3.4773765719102783,13,June,False,25.96946578937247
2024-06-12,3041933.13,25.77276033856086,118029,3.167483415092901,18.631066856450534,3.4691469045742998,14,June,False,25.991294121841136
2024-06-13,3208539.73,26.01905469731987,123315,3.1469562502534156,18.85236078335969,3.489652029355715,15,June,False,26.0131224543098
2024-06-14,2999875.63,25.389539330026913,118154,3.1377046904886843,18.572841122602707,3.211161111769386,16,June,False,26.034950786778467
2024-06-15,2701980.17,24.50931279083479,110243,3.2877796322669015,18.61533702820134,2.9788682274611538,17,June,True,26.056779119247132
2024-06-16,2676378.46,26.678413676236044,100320,3.8691516148325356,20.471375996810206,3.0041136363636363,18,June,True,26.078607451715797
2024-06-17,2522660.23,26.23316899431174,96163,3.5403339122115574,19.071911026070318,3.3493816748645533,19,June,False,26.100435784184462
2024-06-18,2976914.83,25.38556835624382,117268,3.0634494491250814,18.651590374185627,3.2097517651874337,20,June,False,26.122264116653128
2024-06-19,2535023.19,25.581230410607787,99097,3.2832605427005865,18.441203770043494,3.4113352573740885,21,June,False,26.144092449121793
